delta	lambda	item	intercept	depth	embBias	embBias_Two	embBias_Three	compatible	compatible_Two	compatible_Three	compatible:EmbBias
0.2	1	Item232_Critical_0	2.9537	0.8476	-0.1573	-0.0303	-0.2843	-1.1403	-0.4228	-1.8578	0.1096
0.2	1	Item232_Critical_1	7.2888	0.4631	-0.1353	-0.0839	-0.1867	-0.3489	-0.0827	-0.6151	0.0425
0.2	1	Item232_Critical_10	6.7997	-2.4857	-0.1281	-0.0289	-0.2272	-1.761	-1.7032	-1.8189	0.1961
0.2	1	Item232_Critical_11	9.4358	-0.949	-0.1706	-0.3086	-0.0325	-1.9907	-2.8911	-1.0903	0.3935
0.2	1	Item232_Critical_12	9.5062	-0.0825	-0.0115	-0.0006	-0.0225	-0.7097	-0.9261	-0.4933	-0.0971
0.2	1	Item232_Critical_13	7.6417	0.1338	-0.108	-0.0779	-0.1382	-2.8248	-2.6111	-3.0385	0.1163
0.2	1	Item232_Critical_14	2.5308	-0.073	-0.1063	-0.0752	-0.1374	-1.3888	-1.2511	-1.5265	0.0976
0.2	1	Item232_Critical_15	9.1486	0.1299	0.0328	0.0354	0.0302	-1.0972	-1.3875	-0.8068	0.0201
0.2	1	Item232_Critical_16	8.4043	-0.0546	-0.0573	-0.0507	-0.0639	0.6142	0.8578	0.3706	-0.023
0.2	1	Item232_Critical_17	2.8701	-0.5068	-0.159	-0.1576	-0.1604	-0.1678	-0.4006	0.065	0.0817
0.2	1	Item232_Critical_18	3.476	0.971	-0.045	-0.0623	-0.0277	0.2393	-0.071	0.5496	0.0548
0.2	1	Item232_Critical_19	8.4446	0.3664	-0.1114	-0.1164	-0.1064	-0.2936	-0.1039	-0.4833	0.0247
0.2	1	Item232_Critical_2	3.1527	1.0258	-0.2042	-0.0684	-0.34	0.8689	0.2733	1.4645	-0.1718
0.2	1	Item232_Critical_20	8.2005	-0.1138	-0.0165	-0.0419	0.0089	-0.035	-0.4816	0.4116	-0.0156
0.2	1	Item232_Critical_21	10.3213	-0.0686	0.0694	0.083	0.0557	-0.1507	0.35	-0.6514	0.0282
0.2	1	Item232_Critical_23	7.5584	-0.1445	0.1214	0.144	0.0988	-0.7556	-1.0163	-0.4949	0.1238
0.2	1	Item232_Critical_24	7.89	0.3196	-0.0179	-0.0451	0.0092	1.4172	1.6014	1.2329	-0.0885
0.2	1	Item232_Critical_25	2.7323	0.5795	-0.0703	-0.0592	-0.0815	0.3846	0.0296	0.7396	0.0453
0.2	1	Item232_Critical_26	2.9167	0.2309	-0.1396	-0.085	-0.1941	-0.4704	-0.5131	-0.4277	-0.002
0.2	1	Item232_Critical_27	9.411	-1.0655	0.0249	0.1249	-0.0752	-0.3335	-0.3779	-0.289	0.024
0.2	1	Item232_Critical_28	8.4706	0.3166	0.098	0.0646	0.1315	1.0485	0.869	1.228	0.0743
0.2	1	Item232_Critical_3	4.4255	-0.7101	-0.2423	-0.145	-0.3397	3.5694	4.7936	2.3452	-0.3741
0.2	1	Item232_Critical_30	3.0226	-0.0036	-0.1187	-0.1307	-0.1066	-0.6006	-0.52	-0.6811	0.0521
0.2	1	Item232_Critical_4	10.0584	1.1354	-0.0777	-0.0544	-0.101	0.8831	0.7676	0.9987	0.1012
0.2	1	Item232_Critical_5	6.6879	0.3268	-0.0301	-0.0418	-0.0185	0.6726	1.0811	0.264	-0.0466
0.2	1	Item232_Critical_6	6.6703	0.1801	0.1656	0.1422	0.1889	0.7738	1.1277	0.42	-0.0653
0.2	1	Item232_Critical_7	8.6412	0.0766	-0.0142	0.0243	-0.0527	0.9552	0.4907	1.4198	-0.0764
0.2	1	Item232_Critical_8	7.6446	0.1835	-0.1216	-0.1243	-0.119	0.0461	0.0558	0.0365	0.0688
0.2	1	Item232_Critical_9	3.2278	0.7533	-0.1229	-0.0315	-0.2143	0.0858	0.2278	-0.0562	-0.0377
0.2	1	Item238_Critical_VAdv1	12.7117	1.0102	-0.0874	-0.1072	-0.0677	NA	NA	NA	NA
0.2	1	Item238_Critical_VN1	3.0744	-0.4305	-0.0946	-0.0615	-0.1278	1.0842	1.671	0.4974	-0.0458
0.2	1	Item238_Critical_VN2	8.5012	0.0344	-0.23	-0.2341	-0.2259	-1.2968	-0.8126	-1.781	-0.1046
0.2	1	Item238_Critical_VN3	8.899	0.8601	-0.1983	-0.0883	-0.3082	-0.854	-0.8113	-0.8967	0.037
0.2	1	Item238_Critical_VN5	10.55	-0.1117	0.0286	0.0305	0.0267	0.1629	0.5289	-0.2031	0.128
0.2	1	Item238_Critical_Vadv1	11.3945	0.2236	0.18	0.1225	0.2376	NA	NA	NA	NA
0.2	1	Item238_Critical_Vadv2	12.291	-0.1519	-0.0359	-0.062	-0.0098	0.1648	0.2705	0.0591	-0.0701
0.2	1	Item238_Critical_Vadv3	5.847	0.1274	-0.0243	-0.0552	0.0066	0.9096	0.6954	1.1239	-0.0165
0.2	1	Item238_Critical_Vadv5	7.808	0.5862	-0.1015	-0.0278	-0.1752	-0.3012	-0.2254	-0.377	-0.0501
0.2	1	Item238_Critical_Vadv6	9.5705	0.0811	0.0273	0.0626	-0.008	-2.1329	-2.0139	-2.2519	-0.0605
0.2	1	Item238_Critical_Vadv7	8.3359	0.035	-0.0485	-0.0698	-0.0271	0.7444	0.927	0.5618	-0.0043
0.2	1	Item238_Critical_Vadv8	2.5832	0.4268	0.0033	-0.0523	0.0589	0.1928	-0.0466	0.4321	-0.018
0.2	1	Item238_Critical_Vadv9	7.8292	-0.1773	-0.0435	-0.0071	-0.0799	0.0142	0.0847	-0.0562	-0.0123
0.2	1	ItemCritical_6	3.3491	0.0709	-0.1345	-0.1323	-0.1367	0.5241	0.6779	0.3703	0.0186
0.25	1	Item232_Critical_0	2.8845	0.7145	-0.0652	-0.0238	-0.1065	-0.9883	-0.4339	-1.5426	0.0725
0.25	1	Item232_Critical_1	7.2035	0.3221	-0.0796	-0.0913	-0.0679	-0.3339	-0.1331	-0.5348	0.067
0.25	1	Item232_Critical_10	6.8867	-2.2898	-0.0685	-0.0348	-0.1022	-1.7621	-1.7573	-1.7668	0.1512
0.25	1	Item232_Critical_11	9.452	-0.8731	-0.1573	-0.3205	0.0059	-1.8461	-2.8723	-0.8199	0.3873
0.25	1	Item232_Critical_12	9.4937	-0.0285	-0.003	0.014	-0.0199	-0.659	-0.8891	-0.4289	-0.0744
0.25	1	Item232_Critical_13	7.6716	0.2269	-0.0717	-0.0759	-0.0676	-2.8179	-2.6107	-3.025	0.1009
0.25	1	Item232_Critical_14	2.5834	0.0335	-0.0664	-0.0806	-0.0521	-1.3967	-1.2392	-1.5542	0.0663
0.25	1	Item232_Critical_15	9.1684	0.2138	0.0385	0.0411	0.0359	-0.96	-1.4212	-0.4988	0.0281
0.25	1	Item232_Critical_16	8.4078	-0.0453	-0.0318	-0.0389	-0.0248	0.563	0.8903	0.2358	0.0183
0.25	1	Item232_Critical_17	2.935	-0.3712	-0.1273	-0.178	-0.0766	-0.1575	-0.3717	0.0566	0.0427
0.25	1	Item232_Critical_18	3.4807	1.0279	-0.0362	-0.0562	-0.0161	0.1169	-0.0384	0.2722	0.0176
0.25	1	Item232_Critical_19	8.3469	0.271	-0.0758	-0.1125	-0.0391	-0.2754	-0.1424	-0.4085	0.0159
0.25	1	Item232_Critical_2	3.1526	1.0438	-0.1077	-0.06	-0.1554	0.7207	0.2985	1.1429	-0.117
0.25	1	Item232_Critical_20	8.123	-0.1808	0.0025	0.0104	-0.0054	0.0631	-0.447	0.5732	-0.0256
0.25	1	Item232_Critical_21	10.3144	-0.072	0.0852	0.1062	0.0641	-0.2479	0.3683	-0.8641	0.0373
0.25	1	Item232_Critical_23	7.5275	-0.1743	0.0957	0.152	0.0395	-0.6876	-1.0176	-0.3576	0.0948
0.25	1	Item232_Critical_24	7.8244	0.2704	-0.0354	-0.0416	-0.0293	1.3127	1.6109	1.0145	-0.0692
0.25	1	Item232_Critical_25	2.7623	0.7063	-0.0434	-0.0653	-0.0215	0.3531	0.0319	0.6744	0.0358
0.25	1	Item232_Critical_26	2.9513	0.384	-0.0745	-0.0984	-0.0505	-0.5331	-0.4912	-0.5751	-0.0238
0.25	1	Item232_Critical_27	9.478	-0.8868	0.0546	0.1443	-0.0352	-0.3578	-0.3815	-0.3341	0.0441
0.25	1	Item232_Critical_28	8.4517	0.336	0.0857	0.0738	0.0975	0.9707	0.84	1.1014	0.0681
0.25	1	Item232_Critical_3	4.4474	-0.633	-0.1621	-0.1572	-0.167	3.5793	4.7606	2.3981	-0.2499
0.25	1	Item232_Critical_30	3.0325	0.0577	-0.083	-0.1278	-0.0381	-0.6029	-0.5332	-0.6727	0.044
0.25	1	Item232_Critical_4	10.0527	1.1635	-0.0471	-0.0512	-0.043	0.8559	0.7422	0.9695	0.0907
0.25	1	Item232_Critical_5	6.707	0.3898	-0.0224	-0.044	-0.0009	0.7333	1.0915	0.3752	-0.0388
0.25	1	Item232_Critical_6	6.6797	0.2423	0.1225	0.1414	0.1037	0.7725	1.1498	0.3953	-0.0412
0.25	1	Item232_Critical_7	8.6323	0.0778	0.0104	0.0305	-0.0096	1.0426	0.4943	1.5908	-0.0203
0.25	1	Item232_Critical_8	7.6001	0.1484	-0.0883	-0.1273	-0.0492	0.0431	0.1221	-0.0359	0.0506
0.25	1	Item232_Critical_9	3.2369	0.8207	-0.0588	-0.0367	-0.0809	0.0653	0.1776	-0.0471	-0.0442
0.25	1	Item238_Critical_VAdv1	12.5098	0.6522	-0.0352	-0.0684	-0.0019	NA	NA	NA	NA
0.25	1	Item238_Critical_VN1	3.1121	-0.2403	-0.036	-0.049	-0.0229	1.0193	1.6349	0.4037	-0.0563
0.25	1	Item238_Critical_VN2	8.4333	-0.067	-0.1681	-0.2377	-0.0985	-1.2525	-0.854	-1.651	-0.0496
0.25	1	Item238_Critical_VN3	9.4598	1.9699	-0.3345	-0.0877	-0.5814	-0.5304	-0.806	-0.2549	-0.0104
0.25	1	Item238_Critical_VN5	10.5041	-0.0796	0.0344	0.0464	0.0224	0.2253	0.4943	-0.0436	0.0803
0.25	1	Item238_Critical_Vadv1	11.2914	0.1424	0.1173	0.1087	0.1259	NA	NA	NA	NA
0.25	1	Item238_Critical_Vadv2	12.2842	0.0781	-0.0525	-0.0097	-0.0954	0.248	0.2474	0.2485	0.0198
0.25	1	Item238_Critical_Vadv3	5.7425	0.1649	0.0032	0.0329	-0.0266	0.839	0.5318	1.1462	-0.0229
0.25	1	Item238_Critical_Vadv5	8.3095	1.6586	-0.3077	0.0091	-0.6244	0.0842	-0.1991	0.3676	-0.08
0.25	1	Item238_Critical_Vadv6	9.5539	0.1093	0.0567	0.0732	0.0402	-2.2797	-2.0692	-2.4903	-0.048
0.25	1	Item238_Critical_Vadv7	8.2404	0.1003	-0.031	-0.0197	-0.0424	0.7674	0.8689	0.6658	0.0406
0.25	1	Item238_Critical_Vadv8	2.3793	0.369	-0.0343	-0.0266	-0.0419	0.0835	-0.24	0.4069	0.0231
0.25	1	Item238_Critical_Vadv9	8.065	0.4519	-0.1898	0.0364	-0.416	0.3991	0.0959	0.7024	-0.1872
0.25	1	ItemCritical_6	3.3091	0.0653	-0.0897	-0.1115	-0.068	0.5397	0.6295	0.4499	-0.03
0.3	1	Item232_Critical_0	3.6785	2.3727	-0.0365	-0.006	-0.0669	-0.5577	-0.4288	-0.6866	0.016
0.3	1	Item232_Critical_1	7.9174	1.8047	-0.0651	-0.0673	-0.0629	-0.0204	-0.0914	0.0506	0.0301
0.3	1	Item232_Critical_10	7.6814	-0.7186	-0.0601	-0.0226	-0.0975	-1.3509	-1.7251	-0.9766	0.0481
0.3	1	Item232_Critical_11	10.3131	0.8861	-0.1839	-0.2931	-0.0747	-1.7434	-2.9211	-0.5656	0.3077
0.3	1	Item232_Critical_12	10.4822	2.0049	-0.0198	0.0213	-0.061	0.0793	-0.8836	1.0422	-0.0304
0.3	1	Item232_Critical_13	8.7671	2.4498	-0.0738	-0.0547	-0.0928	-2.3314	-2.6086	-2.0542	0.1252
0.3	1	Item232_Critical_14	3.6702	2.3269	-0.1021	-0.062	-0.1422	-1.5639	-1.2614	-1.8665	0.1218
0.3	1	Item232_Critical_15	9.8857	1.6796	0.001	0.0663	-0.0643	-0.2318	-1.4182	0.9546	-0.079
0.3	1	Item232_Critical_16	9.3495	1.896	-0.0215	-0.019	-0.0241	0.765	0.8671	0.6629	0.0996
0.3	1	Item232_Critical_17	4.258	2.324	-0.1598	-0.1567	-0.1629	0.0321	-0.3596	0.4237	0.0853
0.3	1	Item232_Critical_18	4.2425	2.5997	-0.0818	-0.0467	-0.117	-0.2472	-0.0501	-0.4443	0.0694
0.3	1	Item232_Critical_19	9.2864	2.1653	-0.0763	-0.0863	-0.0663	0.4793	-0.1318	1.0903	-0.0393
0.3	1	Item232_Critical_2	4.3464	3.5244	-0.0606	-0.0299	-0.0914	0.6762	0.2852	1.0673	-0.1015
0.3	1	Item232_Critical_20	8.7254	1.0461	-0.0104	0.0064	-0.0272	0.1724	-0.4415	0.7862	-0.0578
0.3	1	Item232_Critical_21	10.8733	1.1359	0.0428	0.1062	-0.0205	0.0519	0.413	-0.3092	-0.0057
0.3	1	Item232_Critical_23	8.2935	1.4213	0.0522	0.1523	-0.0479	-0.2442	-1.0248	0.5364	0.0454
0.3	1	Item232_Critical_24	8.8918	2.4634	-0.0324	-0.0276	-0.0371	1.5442	1.5985	1.4899	-0.0294
0.3	1	Item232_Critical_25	4.0388	3.3639	-0.0512	-0.0531	-0.0492	0.2002	-0.0231	0.4235	-0.0511
0.3	1	Item232_Critical_26	4.0902	2.7313	-0.0842	-0.0735	-0.095	-0.3183	-0.5575	-0.0791	0.0339
0.3	1	Item232_Critical_27	10.8698	1.9773	0.0844	0.1426	0.0261	-0.216	-0.369	-0.0631	-0.0373
0.3	1	Item232_Critical_28	9.3268	2.1743	0.0365	0.0823	-0.0093	1.0363	0.8201	1.2524	0.016
0.3	1	Item232_Critical_3	5.2736	1.0513	-0.0951	-0.1255	-0.0648	4.1923	4.8287	3.5558	-0.1216
0.3	1	Item232_Critical_30	4.1359	2.3603	-0.0619	-0.1011	-0.0228	-0.4298	-0.58	-0.2796	0.0222
0.3	1	Item232_Critical_4	10.6349	2.3764	-0.0509	-0.0492	-0.0525	0.8018	0.7224	0.8813	0.0815
0.3	1	Item232_Critical_5	7.3382	1.6892	-0.0438	-0.0329	-0.0548	1.6652	1.0903	2.2401	-0.0407
0.3	1	Item232_Critical_6	7.7968	2.5186	0.0475	0.1665	-0.0715	0.8563	1.123	0.5896	-0.0282
0.3	1	Item232_Critical_7	8.9265	0.7113	0.0294	0.0572	0.0016	1.7211	0.4974	2.9449	0.02
0.3	1	Item232_Critical_8	8.1036	1.2094	-0.0744	-0.1088	-0.0401	0.4122	0.1167	0.7077	0.0504
0.3	1	Item232_Critical_9	4.649	3.717	-0.0487	-0.0095	-0.0879	-0.6034	0.2003	-1.4071	-0.0142
0.3	1	Item238_Critical_VAdv1	12.9545	1.5921	-0.0943	-0.0278	-0.1609	NA	NA	NA	NA
0.3	1	Item238_Critical_VN1	4.7464	3.0284	-0.0767	-0.0441	-0.1094	1.0459	1.6547	0.4372	-0.1167
0.3	1	Item238_Critical_VN2	9.0768	1.3339	-0.122	-0.1931	-0.0509	-0.7883	-0.8906	-0.686	-0.0469
0.3	1	Item238_Critical_VN3	10.6987	4.4969	-0.0675	-0.0883	-0.0467	-0.5478	-0.7624	-0.3332	0.0044
0.3	1	Item238_Critical_VN5	11.7934	2.5428	-0.0197	0.076	-0.1153	0.3697	0.4966	0.2427	0.0763
0.3	1	Item238_Critical_Vadv1	12.1003	1.8335	0.063	0.0907	0.0352	NA	NA	NA	NA
0.3	1	Item238_Critical_Vadv2	12.9436	1.5752	-0.2363	0.0257	-0.4983	0.6061	0.2244	0.9877	-0.0041
0.3	1	Item238_Critical_Vadv3	6.9382	2.9602	-0.1572	0.0366	-0.3511	2.5319	0.3776	4.6863	-0.0243
0.3	1	Item238_Critical_Vadv5	9.4488	4.0944	-0.0055	0.0279	-0.039	-0.1749	-0.2728	-0.0771	0.0228
0.3	1	Item238_Critical_Vadv6	9.9288	0.8981	0.023	0.1083	-0.0622	-1.8841	-2.1708	-1.5975	-0.102
0.3	1	Item238_Critical_Vadv7	9.096	2.0121	-0.351	-0.0054	-0.6967	1.0799	0.7593	1.4005	-0.0072
0.3	1	Item238_Critical_Vadv8	3.1962	2.179	-0.2815	0.0122	-0.5752	0.7329	-0.2891	1.7548	-0.1689
0.3	1	Item238_Critical_Vadv9	9.5909	3.5402	0.0337	0.0769	-0.0095	0.8797	0.0869	1.6724	-0.0363
0.3	1	ItemCritical_6	4.5165	2.5551	-0.084	-0.0888	-0.0793	0.2121	0.6465	-0.2222	0.0974
0.35	0.75	Item232_Critical_0	2.9098	0.7428	-0.0071	-0.0158	0.0015	-0.9368	-0.4479	-1.4257	0.0176
0.35	0.75	Item232_Critical_1	7.2447	0.3949	-0.042	-0.0753	-0.0088	-0.4163	-0.0982	-0.7344	0.0394
0.35	0.75	Item232_Critical_10	6.9425	-2.1621	-0.0062	-0.0105	-0.0019	-1.7727	-1.7554	-1.79	0.1164
0.35	0.75	Item232_Critical_11	9.6261	-0.4977	-0.1371	-0.288	0.0137	-1.9556	-2.8791	-1.0321	0.3668
0.35	0.75	Item232_Critical_12	9.6112	0.1775	-0.0073	0.0101	-0.0248	-0.4978	-0.9358	-0.0598	-0.0571
0.35	0.75	Item232_Critical_13	7.7491	0.3824	-0.0363	-0.0589	-0.0138	-2.7478	-2.6309	-2.8647	0.0652
0.35	0.75	Item232_Critical_14	2.7268	0.3716	-0.0238	-0.0653	0.0176	-1.5811	-1.2468	-1.9153	0.0374
0.35	0.75	Item232_Critical_15	9.3454	0.604	0.0084	0.0438	-0.0271	-0.6584	-1.4018	0.085	-0.0008
0.35	0.75	Item232_Critical_16	8.4053	-0.0259	-0.0113	-0.0304	0.0078	0.465	0.8587	0.0713	0.055
0.35	0.75	Item232_Critical_17	2.9854	-0.2349	-0.0817	-0.1614	-0.002	-0.2078	-0.3768	-0.0387	0.0726
0.35	0.75	Item232_Critical_18	3.5857	1.3051	-0.0061	-0.0374	0.0252	-0.1565	-0.0493	-0.2637	0.0375
0.35	0.75	Item232_Critical_19	8.3164	0.235	-0.0594	-0.1027	-0.0161	-0.0724	-0.1436	-0.0011	0.0173
0.35	0.75	Item232_Critical_2	3.1624	1.1071	-0.0125	-0.0198	-0.0053	0.678	0.2628	1.0932	0.0161
0.35	0.75	Item232_Critical_20	8.0732	-0.2844	0.0023	0.0107	-0.0061	0.0835	-0.4453	0.6123	-0.0451
0.35	0.75	Item232_Critical_21	10.3395	0.0238	0.0582	0.1165	-0.0002	-0.2285	0.3662	-0.8231	0.0093
0.35	0.75	Item232_Critical_23	7.5723	-0.0997	0.0746	0.1562	-0.0071	-0.6492	-0.9931	-0.3054	0.0527
0.35	0.75	Item232_Critical_24	7.8277	0.2766	-0.0041	-0.0251	0.0169	1.258	1.5588	0.9572	-0.0396
0.35	0.75	Item232_Critical_25	2.9564	1.1448	-0.0292	-0.0395	-0.0189	0.4552	-0.022	0.9324	0.0112
0.35	0.75	Item232_Critical_26	3.0457	0.5153	-0.0316	-0.0576	-0.0056	-0.4974	-0.4959	-0.4989	0.0424
0.35	0.75	Item232_Critical_27	9.5664	-0.7166	0.0692	0.1374	0.0011	-0.3801	-0.3679	-0.3924	0.0758
0.35	0.75	Item232_Critical_28	8.4471	0.3644	0.0431	0.0859	0.0003	0.8334	0.8355	0.8313	0.0073
0.35	0.75	Item232_Critical_3	4.5289	-0.4481	-0.0746	-0.1412	-0.0079	3.6819	4.795	2.5689	-0.103
0.35	0.75	Item232_Critical_30	3.0899	0.2169	-0.0559	-0.1063	-0.0055	-0.5675	-0.5757	-0.5593	0.0165
0.35	0.75	Item232_Critical_4	10.0502	1.2299	-0.0157	-0.0462	0.0149	0.8582	0.7296	0.9868	0.0771
0.35	0.75	Item232_Critical_5	6.6736	0.3485	-0.0075	-0.0264	0.0114	0.7954	1.0896	0.5011	-0.0191
0.35	0.75	Item232_Critical_6	6.7941	0.5186	0.0884	0.1598	0.017	0.714	1.1022	0.3258	-0.0455
0.35	0.75	Item232_Critical_7	8.5894	0.0025	0.0246	0.0538	-0.0047	1.109	0.4838	1.7341	0.0051
0.35	0.75	Item232_Critical_8	7.623	0.1946	-0.0459	-0.1031	0.0112	-0.0573	0.0856	-0.2003	0.0372
0.35	0.75	Item232_Critical_9	3.3806	1.08	-0.0089	-0.0328	0.015	-0.2272	0.1596	-0.6141	-0.0026
0.35	0.75	Item238_Critical_VAdv1	12.3856	0.3811	-0.0338	-0.0277	-0.04	NA	NA	NA	NA
0.35	0.75	Item238_Critical_VN1	3.8489	1.2137	-0.0406	-0.0467	-0.0346	1.2326	1.603	0.8623	-0.0789
0.35	0.75	Item238_Critical_VN2	8.4701	0.0555	-0.0998	-0.2167	0.0171	-1.0934	-0.8253	-1.3615	-0.0542
0.35	0.75	Item238_Critical_VN3	10.832	4.7575	-0.2553	-0.0665	-0.4441	0.1277	-0.7902	1.0457	-0.0235
0.35	0.75	Item238_Critical_VN5	10.5484	0.0296	0.0415	0.0694	0.0137	0.2727	0.5013	0.0442	0.0461
0.35	0.75	Item238_Critical_Vadv1	11.1957	-0.0487	0.0406	0.065	0.0161	NA	NA	NA	NA
0.35	0.75	Item238_Critical_Vadv2	12.4435	1.2317	-0.0834	0.0127	-0.1796	0.7737	0.1549	1.3925	0.01
0.35	0.75	Item238_Critical_Vadv3	6.3128	3.1933	0.0354	0.0064	0.0645	2.6077	0.448	4.7673	0.1067
0.35	0.75	Item238_Critical_Vadv5	9.7692	3.8162	-0.4235	-0.136	-0.7111	0.1835	-0.253	0.62	0.0122
0.35	0.75	Item238_Critical_Vadv6	9.7415	0.5075	-0.0394	-0.009	-0.0697	-1.2865	-1.7825	-0.7905	0.021
